word,meaning,example,translation,interval,repetitions,next_due,total_attempts,error_count,total_correct,total_wrong,last_correct_date
a,an article used before a noun,I have a dog.,我有一隻狗。,1.0,0,2025-05-26 22:15:13.088029,0,0,0,0,
abandon,to leave something behind,They had to abandon the trip due to bad weather.,因為天氣不好，他們只好放棄旅行。,1.0,0,2025-05-26 22:15:13.088414,0,0,0,0,
ability,the power or skill to do something,She has the ability to draw very well.,她有很會畫畫的能力。,1.0,0,2025-05-26 22:15:13.088554,0,0,0,0,
able,having the power or skill to do something,He is able to swim fast.,他能夠游得很快。,1.0,0,2025-05-26 22:15:13.088678,0,0,0,0,
abortion,ending a pregnancy early,They talked about abortion in the health class.,他們在健康課上討論了墮胎。,1.0,0,2025-05-26 22:15:13.088803,0,0,0,0,
about,concerning or related to,I read a story about animals.,我讀了一篇關於動物的故事。,1.0,0,2025-05-26 22:15:13.088930,0,0,0,0,
above,in a higher place,The picture is hanging above the bed.,那幅畫掛在床的上方。,1.0,0,2025-05-26 22:15:13.089052,0,0,0,0,
abroad,in or to a foreign country,My sister is studying abroad in Japan.,我姐姐正在日本留學。,1.0,0,2025-05-26 22:15:13.089173,0,0,0,0,
absence,the state of being away,His absence from school was noticed.,他沒來學校大家都有注意到。,1.0,0,2025-05-26 22:15:13.089298,0,0,0,0,
absolute,complete and total,She has absolute trust in her parents.,她完全信任她的父母。,1.0,0,2025-05-26 22:15:13.089417,0,0,0,0,
absolutely,completely or totally,This cake is absolutely delicious!,這個蛋糕真的非常好吃！,1.0,0,2025-05-26 22:15:13.089531,0,0,0,0,
absorb,to soak up,A sponge can absorb water.,海綿可以吸水。,1.0,0,2025-05-26 22:15:13.089647,0,0,0,0,
abuse,to treat badly,We should never abuse animals.,我們絕對不能虐待動物。,1.0,0,2025-05-26 22:15:13.089764,0,0,0,0,
academic,related to school or learning,She won an academic award at school.,她在學校得到了學術獎。,1.0,0,2025-05-26 22:15:13.089879,0,0,0,0,
accept,to agree to take something,He accepted the gift with a smile.,他笑著接受了那份禮物。,1.0,0,2025-05-26 22:15:13.089993,0,0,0,0,
access,the right to enter or use something,You need a password to access the computer.,你需要密碼才能進入這台電腦。,1.0,0,2025-05-26 22:15:13.090104,0,0,0,0,
accident,something bad that happens by chance,He had a bike accident yesterday.,他昨天發生了腳踏車意外。,1.0,0,2025-05-26 22:15:13.090215,0,0,0,0,
accompany,to go with someone,I will accompany you to the park.,我會陪你一起去公園。,1.0,0,2025-05-26 22:15:13.090330,0,0,0,0,
accomplish,to finish something successfully,She accomplished all her homework before dinner.,她在晚餐前完成了所有作業。,1.0,0,2025-05-26 22:15:13.090440,0,0,0,0,
according,as stated by someone or something,"According to the teacher, the test is tomorrow.",根據老師說，明天要考試。,1.0,0,2025-05-26 22:15:13.090551,0,0,0,0,
account,a record or place to keep money,I have a bank account.,我有一個銀行帳戶。,1.0,0,2025-05-26 22:15:13.090664,0,0,0,0,
accurate,correct or exact,Her answer was accurate.,她的答案是正確的。,1.0,0,2025-05-26 22:15:13.090779,0,0,0,0,
accuse,to say someone did something wrong,He was accused of breaking the window.,他被指控打破了窗戶。,1.0,0,2025-05-26 22:15:13.090890,0,0,0,0,
achieve,to reach or do something successfully,I want to achieve my goals this year.,我今年想要達成我的目標。,1.0,0,2025-05-26 22:15:13.091000,0,0,0,0,
achievement,something you have done successfully,Winning the race was a big achievement.,贏得比賽是個很大的成就。,1.0,0,2025-05-26 22:15:13.091110,0,0,0,0,
acid,a sour-tasting chemical,Lemon juice tastes like acid.,檸檬汁喝起來很酸。,1.0,0,2025-05-26 22:15:13.091220,0,0,0,0,
acknowledge,to admit or accept something is true,He acknowledged that he made a mistake.,他承認自己犯了錯。,1.0,0,2025-05-26 22:15:13.091330,0,0,0,0,
acquire,to get something new,She acquired a new skill in class.,她在課堂上學會了一項新技能。,1.0,0,2025-05-26 22:15:13.091442,0,0,0,0,
word,meaning,example,translation,1.0,0,2025-05-26 22:15:13.091554,0,0,0,0,
across,from one side to another,He ran across the street.,他跑過馬路。,1.0,0,2025-05-26 22:15:13.091666,0,0,0,0,
act,to do something,Please act kindly to others.,請對別人友善地行動。,1.0,0,2025-05-26 22:15:13.091777,0,0,0,0,
action,something that is done,The superhero took action to save the day.,超級英雄採取行動拯救大家。,1.0,0,2025-05-26 22:15:13.091892,0,0,0,0,
active,always moving or doing things,The dog is very active today.,這隻狗今天很活躍。,1.0,0,2025-05-26 22:15:13.092005,0,0,0,0,
activist,a person who fights for a cause,The activist spoke about saving trees.,那位活動人士談到了保護樹木。,1.0,0,2025-05-26 22:15:13.092116,0,0,0,0,
activity,something fun or educational to do,Drawing is my favorite activity.,畫畫是我最喜歡的活動。,1.0,0,2025-05-26 22:15:13.092227,0,0,0,0,
actor,a man who acts in movies or plays,He is a famous actor in many films.,他是一位知名演員。,1.0,0,2025-05-26 22:15:13.092337,0,0,0,0,
actress,a woman who acts in movies or plays,The actress won an award.,這位女演員得獎了。,1.0,0,2025-05-26 22:15:13.092447,0,0,0,0,
actual,real or true,The actual price is lower than I thought.,實際價格比我想的還低。,1.0,0,2025-05-26 22:15:13.092557,0,0,0,0,
actually,in fact or really,I actually like broccoli now.,其實我現在喜歡花椰菜了。,1.0,0,2025-05-26 22:15:13.092686,0,0,0,0,
ad,a short form of advertisement,I saw an ad for a new toy.,我看到一則新玩具的廣告。,1.0,0,2025-05-26 22:15:13.092800,0,0,0,0,
adapt,to change to fit something new,Birds adapt to cold weather.,鳥類會適應寒冷的天氣。,1.0,0,2025-05-26 22:15:13.092911,0,0,0,0,
add,to put more,Please add some sugar to the tea.,請幫茶加點糖。,1.0,0,2025-05-26 22:15:13.093025,0,0,0,0,
addition,something that is added,We built an addition to our house.,我們在家裡加蓋了一間房。,1.0,0,2025-05-26 22:15:13.093136,0,0,0,0,
additional,more than what was before,We need additional chairs.,我們還需要更多椅子。,1.0,0,2025-05-26 22:15:13.093246,0,0,0,0,
address,the place where someone lives,I wrote my friend's address on the envelope.,我把朋友的地址寫在信封上。,1.0,0,2025-05-26 22:15:13.093358,0,0,0,0,
adequate,just enough,We have adequate food for the trip.,我們有足夠的食物去旅行。,1.0,0,2025-05-26 22:15:13.093469,0,0,0,0,
adjust,to change slightly,I adjusted my chair to sit comfortably.,我調整了椅子讓我坐得舒服。,1.0,0,2025-05-26 22:15:13.093579,0,0,0,0,
adjustment,a small change,He made an adjustment to the bike seat.,他調整了腳踏車的座墊。,1.0,0,2025-05-26 22:15:13.093681,0,0,0,0,
administration,the group that manages a group or place,The school administration planned a fun day.,學校行政安排了活動日。,1.0,0,2025-05-26 22:15:13.093778,0,0,0,0,
administrator,a person who manages or organizes,The administrator helped with class schedules.,管理員幫忙安排課表。,1.0,0,2025-05-26 22:15:13.093876,0,0,0,0,
admire,to respect or look up to someone,I admire my big sister a lot.,我很崇拜我姐姐。,1.0,0,2025-05-26 22:15:13.093972,0,0,0,0,
admission,permission to enter,We paid for admission to the zoo.,我們付錢進入動物園。,1.0,0,2025-05-26 22:15:13.094089,0,0,0,0,
admit,to say something is true,He admitted he broke the glass.,他承認自己打破了玻璃。,1.0,0,2025-05-26 22:15:13.094193,0,0,0,0,
adolescent,a teenager,That adolescent loves to play basketball.,那位青少年喜歡打籃球。,1.0,0,2025-05-26 22:15:13.094292,0,0,0,0,
adopt,to take as one's own,They decided to adopt a dog.,他們決定領養一隻狗。,1.0,0,2025-05-26 22:15:13.094388,0,0,0,0,
adult,a fully grown person,Only adults can drive a car.,只有大人才能開車。,1.0,0,2025-05-26 22:15:13.094484,0,0,0,0,
advance,to move forward,We will advance to the next level.,我們將前進到下一個關卡。,1.0,0,2025-05-26 22:15:13.094580,0,0,0,0,
advanced,more developed,She takes an advanced math class.,她上的是進階數學課。,1.0,0,2025-05-26 22:15:13.094676,0,0,0,0,
advantage,something good that helps you,Being tall is an advantage in basketball.,打籃球時高個子有優勢。,1.0,0,2025-05-26 22:15:13.094774,0,0,0,0,
adventure,an exciting trip or event,We went on an adventure in the forest.,我們去森林冒險。,1.0,0,2025-05-26 22:15:13.094870,0,0,0,0,
advertising,the act of promoting things,Advertising helps sell products.,廣告可以幫助產品銷售。,1.0,0,2025-05-26 22:15:13.094968,0,0,0,0,
advice,suggestions to help someone,My mom gave me advice on homework.,我媽給我做功課的建議。,1.0,0,2025-05-26 22:15:13.095065,0,0,0,0,
advise,to give advice,The teacher advised us to study hard.,老師建議我們認真讀書。,1.0,0,2025-05-26 22:15:13.095162,0,0,0,0,
adviser,a person who gives advice,He is my travel adviser.,他是我的旅遊顧問。,1.0,0,2025-05-26 22:15:13.095258,0,0,0,0,
advocate,someone who supports an idea,She is an advocate for animals.,她是動物保護的支持者。,1.0,0,2025-05-26 22:15:13.095356,0,0,0,0,
affair,something that happens or is done,The event was a big school affair.,那是一個重大的校園活動。,1.0,0,2025-05-26 22:15:13.095477,0,0,0,0,
affect,to change or influence something,Rain can affect your mood.,下雨會影響你的心情。,1.0,0,2025-05-26 22:15:13.095582,0,0,0,0,
afford,to be able to pay for,We can’t afford a new car right now.,我們現在買不起新車。,1.0,0,2025-05-26 22:15:13.095683,0,0,0,0,
afraid,feeling fear,I’m afraid of the dark.,我怕黑。,1.0,0,2025-05-26 22:15:13.095781,0,0,0,0,
African,from Africa,He studies African history.,他學的是非洲歷史。,1.0,0,2025-05-26 22:15:13.095878,0,0,0,0,
African-American,a person with African and American heritage,She is an African-American artist.,她是一位非裔美國藝術家。,1.0,0,2025-05-26 22:15:13.095974,0,0,0,0,
after,later than something,We went to the park after lunch.,我們午餐後去了公園。,1.0,0,2025-05-26 22:15:13.096069,0,0,0,0,
afternoon,the time after 12 p.m.,We have class in the afternoon.,我們下午有課。,1.0,0,2025-05-26 22:15:13.096165,0,0,0,0,
again,one more time,Can you play the song again?,你可以再放一次這首歌嗎？,1.0,0,2025-05-26 22:15:13.096272,0,0,0,0,
against,opposite or not for something,I am against bullying.,我反對霸凌。,1.0,0,2025-05-26 22:15:13.096368,0,0,0,0,
age,how old someone is,What is your age?,你幾歲？,1.0,0,2025-05-26 22:15:13.096465,0,0,0,0,
agency,a group that helps do something,He works for a travel agency.,他在旅行社工作。,1.0,0,2025-05-26 22:15:13.096561,0,0,0,0,
agenda,a list of things to do,What’s on the agenda today?,今天的行程有什麼？,1.0,0,2025-05-26 22:15:13.096660,0,0,0,0,
agent,a person who helps or represents others,A sports agent helps players get jobs.,運動經紀人幫選手找工作。,1.0,0,2025-05-26 22:15:13.096763,0,0,0,0,
aggressive,ready to fight or argue,The dog became aggressive when scared.,那隻狗受驚時變得具有攻擊性。,1.0,0,2025-05-26 22:15:13.096860,0,0,0,0,
ago,in the past,I saw that movie two days ago.,我兩天前看了那部電影。,1.0,0,2025-05-26 22:15:13.097085,0,0,0,0,
agree,to have the same opinion,I agree with your idea.,我同意你的想法。,1.0,0,2025-05-26 22:15:13.097182,0,0,0,0,
agreement,when two or more people agree,We made an agreement to share toys.,我們達成了分享玩具的協議。,1.0,0,2025-05-26 22:15:13.097280,0,0,0,0,
agricultural,related to farming,They studied agricultural science in school.,他們在學校學農業科學。,1.0,0,2025-05-26 22:15:13.097401,0,0,0,0,
ah,a sound made when surprised or thinking,"Ah, now I understand!",啊，我現在懂了！,1.0,0,2025-05-26 22:15:13.097497,0,0,0,0,
ahead,in front or forward,He walked ahead of me.,他走在我前面。,1.0,0,2025-05-26 22:15:13.097588,0,0,0,0,
aid,help or support,The nurse gave first aid to the injured boy.,護士給受傷的男孩急救。,1.0,0,2025-05-26 22:15:13.097673,0,0,0,0,
aide,a helper or assistant,The teacher's aide helps with reading time.,老師助理幫忙閱讀活動。,1.0,0,2025-05-26 22:15:13.097758,0,0,0,0,
AIDS,a serious disease that affects the immune system,Doctors are working hard to fight AIDS.,醫生正努力對抗愛滋病。,1.0,0,2025-05-26 22:15:13.097843,0,0,0,0,
aim,to try to reach or hit something,She aimed the ball at the basket.,她把球對準籃框。,1.0,0,2025-05-26 22:15:13.097930,0,0,0,0,
air,the stuff we breathe,We need fresh air to stay healthy.,我們需要新鮮空氣保持健康。,1.0,0,2025-05-26 22:15:13.098015,0,0,0,0,
aircraft,a vehicle that flies in the sky,The aircraft flew high above the clouds.,飛機在雲層上飛行。,1.0,0,2025-05-26 22:15:13.098100,0,0,0,0,
airline,a company that flies planes,We booked a flight with a new airline.,我們訂了一家新航空公司的機票。,1.0,0,2025-05-26 22:15:13.098187,0,0,0,0,
airport,a place where planes take off and land,We arrived early at the airport.,我們很早就到機場了。,1.0,0,2025-05-26 22:15:13.098274,0,0,0,0,
album,a collection of songs or photos,She made a photo album of her trip.,她做了一本旅行相簿。,1.0,0,2025-05-26 22:15:13.098361,0,0,0,0,
alcohol,a drink that can make people drunk,Alcohol is not for children.,酒類不適合小孩。,1.0,0,2025-05-26 22:15:13.098446,0,0,0,0,
alive,living，not dead,The fish is still alive!,那條魚還活著！,1.0,0,2025-05-26 22:15:13.098531,0,0,0,0,
all,everything or everyone,All the kids went outside.,所有小朋友都出去了。,1.0,0,2025-05-26 22:15:13.098618,0,0,0,0,
alliance,a group that works together,The countries formed an alliance.,這些國家結成同盟。,1.0,0,2025-05-26 22:15:13.098704,0,0,0,0,
allow,to let someone do something,Mom allows me to play after homework.,媽媽讓我寫完作業後玩。,1.0,0,2025-05-26 22:15:13.098789,0,0,0,0,
ally,a friend or partner in a group,That country is our ally.,那個國家是我們的盟友。,1.0,0,2025-05-26 22:15:13.098874,0,0,0,0,
almost,nearly,I almost missed the bus.,我差點錯過公車。,1.0,0,2025-05-26 22:15:13.098966,0,0,0,0,
alone,without anyone else,He sat alone in the room.,他一個人坐在房間裡。,1.0,0,2025-05-26 22:15:13.099052,0,0,0,0,
along,moving in a line with something,We walked along the river.,我們沿著河邊走。,1.0,0,2025-05-26 22:15:13.099137,0,0,0,0,
